// Compost colors for chisel. You may add your own colors, change existing ones, or remove colors that aren't needed.
ball_o_moss, #75a275
cloud_in_a_bottle, #fffcff
diamond_chisel, #4d8762
glasspanedyed_black/bubble, #f0f0f
glasspanedyed_black/panel, #b0b0b
glasspanedyed_black/panel_fancy, #181818
glasspanedyed_black/quad, #161616
glasspanedyed_black/quad_fancy, #262626
glasspanedyed_black/transparent, #50505
glasspanedyed_blue/bubble, #f5fe3
glasspanedyed_blue/panel, #b5ce4
glasspanedyed_blue/panel_fancy, #1865e0
glasspanedyed_blue/quad, #1662dd
glasspanedyed_blue/quad_fancy, #266bd6
glasspanedyed_blue/transparent, #55ae8
glasspanedyed_brown/bubble, #7f5b1f
glasspanedyed_brown/panel, #7d581b
glasspanedyed_brown/panel_fancy, #825f28
glasspanedyed_brown/quad, #7f5c25
glasspanedyed_brown/quad_fancy, #836634
glasspanedyed_brown/transparent, #7c5414
glasspanedyed_cyan/bubble, #6cffff
glasspanedyed_cyan/panel, #69ffff
glasspanedyed_cyan/panel_fancy, #70ffff
glasspanedyed_cyan/quad, #6effff
glasspanedyed_cyan/quad_fancy, #75ffff
glasspanedyed_cyan/transparent, #66ffff
glasspanedyed_gray/bubble, #666666
glasspanedyed_gray/panel, #656565
glasspanedyed_gray/panel_fancy, #6b6b6b
glasspanedyed_gray/quad, #696969
glasspanedyed_gray/quad_fancy, #707070
glasspanedyed_gray/transparent, #616161
glasspanedyed_green/bubble, #f5e0f
glasspanedyed_green/panel, #b5b0b
glasspanedyed_green/panel_fancy, #186418
glasspanedyed_green/quad, #166116
glasspanedyed_green/quad_fancy, #266926
glasspanedyed_green/transparent, #55805
glasspanedyed_light_blue/bubble, #47bfff
glasspanedyed_light_blue/panel, #44bfff
glasspanedyed_light_blue/panel_fancy, #4ebeff
glasspanedyed_light_blue/quad, #4bbbff
glasspanedyed_light_blue/quad_fancy, #57b8ff
glasspanedyed_light_blue/transparent, #3ec2ff
glasspanedyed_light_gray/bubble, #e7e7e7
glasspanedyed_light_gray/panel, #e7e7e7
glasspanedyed_light_gray/panel_fancy, #e4e4e4
glasspanedyed_light_gray/quad, #e0e0e0
glasspanedyed_light_gray/quad_fancy, #d9d9d9
glasspanedyed_light_gray/transparent, #ededed
glasspanedyed_lime/bubble, #a2c95b
glasspanedyed_lime/panel, #a2c95a
glasspanedyed_lime/panel_fancy, #a4c861
glasspanedyed_lime/quad, #a1c55e
glasspanedyed_lime/quad_fancy, #a1c068
glasspanedyed_lime/transparent, #a4cd55
glasspanedyed_magenta/bubble, #ff0fbf
glasspanedyed_magenta/panel, #ff0bbf
glasspanedyed_magenta/panel_fancy, #ff18be
glasspanedyed_magenta/quad, #ff16bb
glasspanedyed_magenta/quad_fancy, #f726b8
glasspanedyed_magenta/transparent, #ff05c2
glasspanedyed_orange/bubble, #ffae0f
glasspanedyed_orange/panel, #ffac0b
glasspanedyed_orange/panel_fancy, #ffae18
glasspanedyed_orange/quad, #ffaa16
glasspanedyed_orange/quad_fancy, #ffaa26
glasspanedyed_orange/transparent, #ffae05
glasspanedyed_pink/bubble, #ffcfd6
glasspanedyed_pink/panel, #ffcfd6
glasspanedyed_pink/panel_fancy, #ffccd3
glasspanedyed_pink/quad, #ffc9d0
glasspanedyed_pink/quad_fancy, #ffc5ca
glasspanedyed_pink/transparent, #ffd2da
glasspanedyed_purple/bubble, #910fc6
glasspanedyed_purple/panel, #900bc6
glasspanedyed_purple/panel_fancy, #9318c5
glasspanedyed_purple/quad, #9016c2
glasspanedyed_purple/quad_fancy, #9326be
glasspanedyed_purple/transparent, #9005ca
glasspanedyed_red/bubble, #c00f0f
glasspanedyed_red/panel, #c00b0b
glasspanedyed_red/panel_fancy, #bf1818
glasspanedyed_red/quad, #bc1616
glasspanedyed_red/quad_fancy, #b92626
glasspanedyed_red/transparent, #c30505
glasspanedyed_white/bubble, #ffffff
glasspanedyed_white/panel, #ffffff
glasspanedyed_white/panel_fancy, #ffffff
glasspanedyed_white/quad, #ffffff
glasspanedyed_white/quad_fancy, #ffffff
glasspanedyed_white/transparent, #ffffff
glasspanedyed_yellow/bubble, #ffff52
glasspanedyed_yellow/panel, #ffff50
glasspanedyed_yellow/panel_fancy, #ffff58
glasspanedyed_yellow/quad, #ffff55
glasspanedyed_yellow/quad_fancy, #ffff61
glasspanedyed_yellow/transparent, #ffff4b
hitech_chisel, #6ec8b9
iron_chisel, #ffffff
ironpane/barbedwire, #eae7e6
ironpane/bars, #e0dedd
ironpane/borderless, #9b9a97
ironpane/borderless-topper, #fefcfb
ironpane/cage, #a2a09d
ironpane/classic, #feffff
ironpane/classicnew, #e0e0e3
ironpane/fence, #d7d9da
ironpane/modern, #737679
ironpane/ornatesteel, #b5b6b9
ironpane/spikes, #e1e0e0
ironpane/thickgrid, #bbbcc0
ironpane/thingrid, #edebee
offset_tool, #6c9a8c
