// Compost colors for mob_lib. You may add your own colors, change existing ones, or remove colors that aren't needed.
upgrade_amount_tier_1, #d6d3ca
upgrade_amount_tier_2, #18c600
upgrade_amount_tier_3, #18bfbe
upgrade_amount_tier_4, #ae15be
upgrade_amount_tier_5, #c9a000
upgrade_amount_tier_6, #c91600
upgrade_base, #d6d3ca
upgrade_speed_tier_1, #cfccc5
upgrade_speed_tier_2, #16bf00
upgrade_speed_tier_3, #16b9b8
upgrade_speed_tier_4, #a814b8
upgrade_tier_1, #cfcdc8
upgrade_tier_2, #fc000
upgrade_tier_3, #fb9bb
upgrade_tier_4, #a70cbb
upgrade_tier_5, #c29a00
upgrade_tier_6, #c21500
